หัวข้อ,คำตอบ,หมวดหมู่
เกณฑ์การประเมินศูนย์บ่มเพาะมีกี่ส่วน,"มี 2 ส่วนหลัก รวม 230 คะแนน ส่วนที่ 1: รายงานออนไลน์ OVEC Startup 10 คะแนน ส่วนที่ 2: เอกสารหลักฐาน 220 คะแนน แบ่งเป็น ตอน1 ศักยภาพศูนย์ 15 คะแนน ตอน2 การดำเนินงานบ่มเพาะ 105 คะแนน ตอน3 ผลสัมฤทธิ์ 100 คะแนน",เกณฑ์ประเมิน
ผ่านเกณฑ์ระดับต้นแบบต้องได้เท่าไร,"ต้องได้ร้อยละ 90-100 จึงผ่านระดับต้นแบบ ระดับพัฒนาได้ร้อยละ 80-89.99 ระดับมาตรฐานได้ร้อยละ 60-79.99",เกณฑ์ประเมิน
BMC คืออะไร,"Business Model Canvas คือแผนธุรกิจ 1 หน้า มี 9 ช่อง ฝั่งหน้าบ้าน: กลุ่มลูกค้า คุณค่า ช่องทาง ความสัมพันธ์ รายได้ ฝั่งหลังบ้าน: ทรัพยากร กิจกรรม พันธมิตร ต้นทุน",BMC
BMC มีกี่ช่อง,"9 ช่อง: 1.กลุ่มลูกค้า 2.คุณค่าที่ส่งมอบ 3.ช่องทาง 4.ความสัมพันธ์ลูกค้า 5.กระแสรายได้ 6.ทรัพยากรหลัก 7.กิจกรรมหลัก 8.พันธมิตรหลัก 9.โครงสร้างต้นทุน",BMC
SWOT คืออะไร,"เครื่องมือวิเคราะห์ธุรกิจ S=จุดแข็ง(Strengths) W=จุดอ่อน(Weaknesses) O=โอกาส(Opportunities) T=อุปสรรค(Threats) S และ W คือปัจจัยภายใน O และ T คือปัจจัยภายนอก",SWOT
จุดแข็งคืออะไร,"สิ่งที่ธุรกิจเราทำได้ดีกว่าคู่แข่ง เป็นปัจจัยภายในที่เราควบคุมได้ เช่น ทักษะช่าง ราคาถูก คุณภาพดี ส่งเร็ว",SWOT
จุดอ่อนคืออะไร,"สิ่งที่ธุรกิจเรายังด้อยกว่าคู่แข่ง เป็นปัจจัยภายในที่เราควบคุมได้ แต่ต้องแก้ไขปรับปรุง",SWOT
โอกาสคืออะไร,"ปัจจัยภายนอกที่เกื้อกูลธุรกิจ ควบคุมไม่ได้แต่ช่วยให้เราเติบโต เช่น เทรนด์ตลาด นโยบายรัฐ ความต้องการของผู้บริโภค",SWOT
อุปสรรคคืออะไร,"ปัจจัยภายนอกที่ขัดขวางธุรกิจ ควบคุมไม่ได้ เช่น คู่แข่งรายใหม่ ราคาวัตถุดิบแพงขึ้น กฎระเบียบของรัฐ",SWOT
ระบบ OVEC Cloud คืออะไร,"ระบบออนไลน์ OVEC Startup ของ สอศ. ใช้รายงานการดำเนินงานศูนย์บ่มเพาะ ใส่ข้อมูลนักเรียนผู้ประกอบการ แผนธุรกิจ ผลการดำเนินงาน มีคะแนน 10 คะแนนในการประเมิน",OVEC
